epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9191,2.81037,2.88663,3.82274,1.90895,0,0.005,0.36486,0.04388,0.01092,0.00574,0.41892,0.01515,0.00365,3.20393,2.81161,3.79534,2.03861,0,0.00018,0.00018,0.00018
2,67.6641,2.24773,2.01245,2.70845,1.72517,0,0.00556,0.40541,0.01833,0.00377,0.00667,0.48649,0.07837,0.02039,2.28491,1.06588,3.50516,1.88701,0,0.000376238,0.000376238,0.000376238
3,101.291,2.09506,1.76275,2.46771,1.55903,0,0.00611,0.44595,0.02903,0.00798,0.00667,0.48649,0.06689,0.02045,2.18916,1.17719,3.40718,1.68593,0,0.000568516,0.000568516,0.000568516
4,135.909,1.95783,1.67194,2.26142,1.50308,0,0.00685,0.5,0.1347,0.0523,0.00722,0.52703,0.13978,0.06148,1.85304,1.23465,3.18591,1.47289,0,0.000756834,0.000756834,0.000756834
5,169.01,1.86187,1.53406,2.00878,1.42537,0,0.02031,0.21622,0.06986,0.02159,0.02052,0.44595,0.11215,0.0444,2.08727,1.08856,3.12563,1.6777,0,0.000941192,0.000941192,0.000941192
6,203.179,1.78978,1.57436,1.98319,1.4098,0,0.00704,0.51351,0.02522,0.00719,0.00759,0.55405,0.06994,0.02299,2.14947,1.04366,3.22726,1.92589,0,0.00112159,0.00112159,0.00112159
7,235.873,1.931,1.44122,1.87694,1.50234,0,0.00741,0.54054,0.04429,0.01469,0.00741,0.54054,0.10287,0.03109,1.97048,1.0422,3.07963,1.92473,0,0.00129803,0.00129803,0.00129803
8,271.669,1.95454,1.52854,1.96144,1.49229,0,0.17128,0.13514,0.08264,0.03574,0.5683,0.08923,0.14906,0.0588,2.00213,1.13073,2.8833,1.70238,0,0.00147051,0.00147051,0.00147051
9,305.665,1.92823,1.54806,1.8277,1.42292,0,0.36909,0.06757,0.11828,0.05935,0.51673,0.09459,0.14529,0.07232,1.87249,1.55943,2.79401,1.60448,0,0.00163902,0.00163902,0.00163902
10,339.112,1.7884,1.43822,1.79128,1.40144,0,0.46283,0.25676,0.26239,0.09958,0.48719,0.27027,0.2713,0.14136,1.87293,1.06425,2.3859,1.59792,0,0.00180358,0.00180358,0.00180358
11,371.87,1.85621,1.35439,1.87239,1.42783,0,0.40174,0.35135,0.27484,0.11175,0.43606,0.35135,0.29878,0.14095,1.86282,0.97484,2.21706,1.54473,0,0.001802,0.001802,0.001802
12,404.36,1.73497,1.37851,1.75885,1.37161,0,0.34082,0.32432,0.30978,0.12343,0.45979,0.35135,0.35167,0.15702,1.87598,1.01305,1.99313,1.53122,0,0.0017822,0.0017822,0.0017822
13,436.52,1.71051,1.26361,1.72133,1.36531,0,0.43641,0.29305,0.3155,0.13558,0.51493,0.34436,0.36869,0.19777,1.92112,1.06488,1.88757,1.51558,0,0.0017624,0.0017624,0.0017624
14,471.536,1.76739,1.27823,1.70344,1.37096,0,0.35574,0.36486,0.26124,0.12292,0.49973,0.32398,0.30715,0.15109,1.63105,0.88709,1.81749,1.36891,0,0.0017426,0.0017426,0.0017426
15,504.499,1.72009,1.2339,1.62705,1.37167,0,0.40819,0.31081,0.26008,0.1192,0.45472,0.33784,0.29583,0.14914,1.56154,0.96273,1.86159,1.34211,0,0.0017228,0.0017228,0.0017228
16,536.526,1.58999,1.1541,1.52455,1.29416,0,0.43608,0.36486,0.29803,0.13172,0.45505,0.37838,0.30625,0.15993,1.62508,0.92638,1.76047,1.37664,0,0.001703,0.001703,0.001703
17,568.474,1.58547,1.20804,1.49003,1.3139,0,0.5181,0.37775,0.36483,0.16351,0.5294,0.42571,0.41913,0.21647,1.59296,0.93682,1.69017,1.32836,0,0.0016832,0.0016832,0.0016832
18,601.157,1.63357,1.10978,1.47613,1.33476,0,0.56573,0.41892,0.40702,0.18866,0.56771,0.40541,0.40373,0.17038,1.72079,0.78833,1.6949,1.52662,0,0.0016634,0.0016634,0.0016634
19,633.093,1.49503,1.07117,1.40399,1.27096,0,0.797,0.36486,0.4592,0.24767,0.64316,0.41892,0.46186,0.22069,1.49533,0.82858,1.56111,1.42784,0,0.0016436,0.0016436,0.0016436
20,665.346,1.50462,1.15925,1.44842,1.26524,0,0.59224,0.48649,0.47804,0.27283,0.59224,0.48649,0.47669,0.2359,1.48649,0.82692,1.4813,1.34744,0,0.0016238,0.0016238,0.0016238
21,697.452,1.47406,1.12003,1.37369,1.26248,0,0.6395,0.43243,0.46157,0.26337,0.6395,0.43243,0.46379,0.21841,1.49655,0.81717,1.49315,1.31147,0,0.001604,0.001604,0.001604
22,731.048,1.44313,1.19257,1.35114,1.24692,0,0.56118,0.44937,0.43732,0.19309,0.60514,0.45567,0.43234,0.17624,1.63203,0.77237,1.55454,1.34107,0,0.0015842,0.0015842,0.0015842
23,764.53,1.48367,1.17058,1.33228,1.22353,0,0.68365,0.43243,0.4456,0.23429,0.58889,0.43243,0.41958,0.17194,1.46954,0.78167,1.50547,1.27811,0,0.0015644,0.0015644,0.0015644
24,797.023,1.47087,1.11092,1.38089,1.24238,0,0.60882,0.48377,0.47721,0.28121,0.59798,0.48246,0.47449,0.25754,1.27635,0.69822,1.46376,1.21619,0,0.0015446,0.0015446,0.0015446
25,829.39,1.40787,0.96035,1.35033,1.21946,0,0.6491,0.47297,0.45985,0.27923,0.63223,0.5,0.4928,0.30468,1.29598,0.65872,1.46897,1.2055,0,0.0015248,0.0015248,0.0015248
26,862.455,1.41911,1.05046,1.32268,1.23691,0,0.23403,0.39189,0.16649,0.07471,0.42199,0.35135,0.27673,0.12578,1.5933,0.78612,1.97619,1.29157,0,0.001505,0.001505,0.001505
27,895.795,1.4602,1.0802,1.30163,1.22584,0,0.31533,0.42947,0.21535,0.09644,0.44155,0.36486,0.26405,0.12871,1.53051,0.74639,1.89038,1.2885,0,0.0014852,0.0014852,0.0014852
28,928.526,1.51731,1.09846,1.36682,1.25502,0,0.5403,0.40541,0.40865,0.20619,0.63387,0.41892,0.4607,0.21249,1.51238,0.7296,1.62371,1.25305,0,0.0014654,0.0014654,0.0014654
29,960.616,1.42789,1.01602,1.31537,1.19488,0,0.71756,0.41892,0.49252,0.27168,0.75166,0.41892,0.50912,0.28887,1.37233,0.71419,1.53883,1.22854,0,0.0014456,0.0014456,0.0014456
30,991.767,1.4051,0.98816,1.24726,1.18293,0,0.659,0.56757,0.54521,0.33739,0.62835,0.55405,0.55007,0.30588,1.30929,0.76832,1.36568,1.21714,0,0.0014258,0.0014258,0.0014258
31,1025.54,1.37149,1.05564,1.22507,1.20023,0,0.59791,0.56757,0.53835,0.30952,0.53944,0.51351,0.471,0.21946,1.44481,0.87074,1.38612,1.28307,0,0.001406,0.001406,0.001406
32,1057.31,1.41894,1.15248,1.19762,1.20219,0,0.53044,0.53433,0.52701,0.30096,0.50554,0.51122,0.46773,0.21831,1.40403,0.76659,1.40199,1.30377,0,0.0013862,0.0013862,0.0013862
33,1090.91,1.32918,1.0432,1.19868,1.17918,0,0.63749,0.52286,0.5231,0.31421,0.63285,0.5,0.51379,0.2986,1.25233,0.70809,1.30736,1.20853,0,0.0013664,0.0013664,0.0013664
34,1124,1.37546,1.09254,1.2464,1.20666,0,0.70767,0.45801,0.53456,0.32051,0.57862,0.50104,0.53516,0.28531,1.25565,0.75942,1.30524,1.18464,0,0.0013466,0.0013466,0.0013466
35,1156.19,1.30426,0.99295,1.12073,1.15832,0,0.54612,0.48649,0.49645,0.31171,0.56129,0.5,0.50794,0.27308,1.21926,0.73387,1.37327,1.1974,0,0.0013268,0.0013268,0.0013268
36,1189.27,1.30994,0.96512,1.14967,1.16018,0,0.67984,0.47297,0.5042,0.31431,0.68106,0.5,0.51946,0.31321,1.23724,0.71168,1.26721,1.19146,0,0.001307,0.001307,0.001307
37,1221.07,1.2829,0.88437,1.1709,1.19152,0,0.64011,0.5,0.4942,0.3034,0.72183,0.491,0.50686,0.29153,1.19783,0.68602,1.32436,1.21251,0,0.0012872,0.0012872,0.0012872
