epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5494,0,0,58.4823,0,0,0,0,0,0,0,0,0,0,0,0,47.5428,0,0,0.00018,0.00018,0.00018
2,55.9687,0,0,55.0308,0,0,0,0,0,0,0,0,0,0,0,0,47.526,0,0,0.000376238,0.000376238,0.000376238
3,82.2796,0,0,50.3508,0,0,0,0,0,0,0,0,0,0,0,0,46.4135,0,0,0.000568516,0.000568516,0.000568516
4,108.304,0,0,46.5365,0,0,0,0,0,0,0,0,0,0,0,0,42.725,0,0,0.000756834,0.000756834,0.000756834
5,134.281,0,0,42.5267,0,0,0,0,0,0,0,0,0,0,0,0,36.1259,0,0,0.000941192,0.000941192,0.000941192
6,159.061,0,0,39.4898,0,0,0,0,0,0,0,0,0,0,0,0,30.2808,0,0,0.00112159,0.00112159,0.00112159
7,184.701,0,0,37.4762,0,0,0,0,0,0,0,0,0,0,0,0,28.5867,0,0,0.00129803,0.00129803,0.00129803
8,209.323,0,0,35.7226,0,0,0,0,0,0,0,0,0,0,0,0,23.8997,0,0,0.00147051,0.00147051,0.00147051
9,234.625,0,0,34.1262,0,0,0,0,0,0,0,0,0,0,0,0,17.6352,0,0,0.00163902,0.00163902,0.00163902
10,259.932,0,0,32.7005,0,0,0,0,0,0,0,0,0,0,0,0,18.1154,0,0,0.00180358,0.00180358,0.00180358
11,285.982,0,0,32.0954,0,0,0,0,0,0,0,0,0,0,0,0,17.0755,0,0,0.001802,0.001802,0.001802
12,312.387,0,0,30.5918,0,0,0,0,0,0,0,0,0,0,0,0,21.144,0,0,0.0017822,0.0017822,0.0017822
13,339.334,0,0,29.6784,0,0,0,0,0,0,0,0,0,0,0,0,22.0851,0,0,0.0017624,0.0017624,0.0017624
14,370.261,0,0,28.3301,0,0,0,0,0,0,0,0,0,0,0,0,17.9231,0,0,0.0017426,0.0017426,0.0017426
15,400.603,0,0,27.134,0,0,0,0,0,0,0,0,0,0,0,0,17.4867,0,0,0.0017228,0.0017228,0.0017228
16,427.712,0,0,26.1727,0,0,0,0,0,0,0,0,0,0,0,0,17.1085,0,0,0.001703,0.001703,0.001703
17,454.63,0,0,25.2064,0,0,0,0,0,0,0,0,0,0,0,0,16.5363,0,0,0.0016832,0.0016832,0.0016832
18,483.498,0,0,24.4307,0,0,0,0,0,0,0,0,0,0,0,0,16.8484,0,0,0.0016634,0.0016634,0.0016634
19,511.498,0,0,23.449,0,0,0,0,0,0,0,0,0,0,0,0,16.9915,0,0,0.0016436,0.0016436,0.0016436
20,538.791,0,0,22.6423,0,0,0,0,0,0,0,0,0,0,0,0,16.9661,0,0,0.0016238,0.0016238,0.0016238
21,565.681,0,0,21.8487,0,0,0,0,0,0,0,0,0,0,0,0,17.1044,0,0,0.001604,0.001604,0.001604
22,595.482,0,0,21.2907,0,0,0,0,0,0,0,0,0,0,0,0,16.4396,0,0,0.0015842,0.0015842,0.0015842
23,621.651,0,0,21.0138,0,0,0,0,0,0,0,0,0,0,0,0,16.5285,0,0,0.0015644,0.0015644,0.0015644
24,646.774,0,0,19.717,0,0,0,0,0,0,0,0,0,0,0,0,15.786,0,0,0.0015446,0.0015446,0.0015446
25,673.326,0,0,19.0345,0,0,0,0,0,0,0,0,0,0,0,0,15.541,0,0,0.0015248,0.0015248,0.0015248
26,699.802,0,0,18.3656,0,0,0,0,0,0,0,0,0,0,0,0,15.3144,0,0,0.001505,0.001505,0.001505
27,727.421,0,0,17.7204,0,0,0,0,0,0,0,0,0,0,0,0,14.7692,0,0,0.0014852,0.0014852,0.0014852
28,758.039,0,0,17.1099,0,0,0,0,0,0,0,0,0,0,0,0,14.6395,0,0,0.0014654,0.0014654,0.0014654
29,792.469,0,0,16.5412,0,0,0,0,0,0,0,0,0,0,0,0,23.7298,0,0,0.0014456,0.0014456,0.0014456
30,817.924,0,0,15.9423,0,0,0,0,0,0,0,0,0,0,0,0,13.5608,0,0,0.0014258,0.0014258,0.0014258
31,844.223,0,0,15.3382,0,0,0,0,0,0,0,0,0,0,0,0,13.1365,0,0,0.001406,0.001406,0.001406
32,871.613,0,0,14.8557,0,0,0,0,0,0,0,0,0,0,0,0,12.788,0,0,0.0013862,0.0013862,0.0013862
33,898.627,0,0,14.3754,0,0,0,0,0,0,0,0,0,0,0,0,33.9273,0,0,0.0013664,0.0013664,0.0013664
34,924.399,0,0,13.8812,0,0,0,0,0,0,0,0,0,0,0,0,11.1841,0,0,0.0013466,0.0013466,0.0013466
35,951.619,0,0,13.4123,0,0,0,0,0,0,0,0,0,0,0,0,10.7048,0,0,0.0013268,0.0013268,0.0013268
36,978.547,0,0,13.0006,0,0,0,0,0,0,0,0,0,0,0,0,10.9521,0,0,0.001307,0.001307,0.001307
37,1007.93,0,0,12.5388,0,0,0,0,0,0,0,0,0,0,0,0,11.8332,0,0,0.0012872,0.0012872,0.0012872
38,1037.49,0,0,12.0492,0,0,0,0,0,0,0,0,0,0,0,0,10.423,0,0,0.0012674,0.0012674,0.0012674
